Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
1,101,4.26713e+20,86.678882,41.173386,41.268658,1,81.837614,37.586545,38.032600,1,88.461743,42.167953,42.196246
1,102,9.76337e+19,23.076594,22.815653,59.149745,1,23.654248,23.486505,59.453366,0,0,0,0
1,103,6.86963e+20,93.616194,46.373728,46.442067,1,90.866832,44.066080,44.066821,1,167.534828,79.697056,367.371502
1,104,1.66912e+20,148.694617,7.073857,12.882171,1,117.791128,5.947788,6.503503,1,147.684326,6.667233,11.775044
1,105,5.39152e+20,105.446166,51.176147,52.982268,1,89.948421,40.498330,40.500781,0,0,0,0
1,106,1.03657e+20,44.810613,28.362763,40.731840,1,46.853150,30.497765,42.254374,0,0,0,0
1,107,5.07401e+20,109.943798,33.194142,35.167624,1,91.208602,25.867002,25.867390,1,112.819532,34.016027,36.736773
1,108,6.4039e+19,146.673978,54.710621,98.916193,1,46.277297,10.279035,14.648073,0,0,0,0
1,109,2.38975e+20,32.845839,47.796170,89.544852,1,30.766358,44.271130,88.072087,0,0,0,0
1,110,6.41763e+20,74.857900,23.826569,24.938602,1,72.851601,22.840385,24.187600,0,0,0,0
1,111,8.41147e+20,137.392397,43.673569,64.051683,1,71.450676,18.206514,19.351491,1,133.866330,42.134751,58.035614
1,112,7.65732e+18,105.742677,28.091981,29.042964,1,82.215107,20.067570,20.332615,0,0,0,0
1,113,8.28833e+19,66.710990,35.322150,38.651781,1,23.654839,4.791525,12.969611,0,0,0,0
1,114,6.22e+19,98.431128,29.890469,30.160390,1,93.886719,27.771438,27.811158,1,94.605228,28.037258,28.098694
1,115,9.38808e+20,94.485725,57.245863,57.382799,1,76.882852,41.960647,43.210355,1,99.910456,61.271006,62.109628
1,116,2.19239e+20,99.552876,59.410361,60.041149,1,31.909950,14.212798,28.923710,0,0,0,0
1,117,3.79794e+20,81.721180,18.409177,18.665636,1,81.191754,18.184701,18.468154,1,82.167453,18.565489,18.799708
1,118,9.57554e+20,58.100051,23.220358,27.604032,1,57.681310,22.937706,27.399400,1,61.198407,25.393944,29.202365
1,119,6.95076e+19,79.984088,23.912779,24.356874,1,75.678975,21.826262,22.632032,1,77.784354,22.845794,23.465155
1,120,5.81609e+17,88.236647,3.112784,3.155530,1,92.934252,3.334838,3.344269,0,0,0,0
1,121,2.68124e+20,46.849090,52.154651,71.962386,1,38.997855,36.928753,59.301761,0,0,0,0
1,122,1.79014e+20,90.934620,37.959432,37.960065,1,81.478825,31.832081,32.249805,1,86.070724,34.611526,34.722855
1,123,7.49211e+19,76.385345,47.188038,48.663020,1,77.354069,48.111942,49.410609,1,75.177870,46.123263,47.831487
1,124,5.00238e+19,102.367749,42.723161,43.647885,1,86.890464,33.689800,33.764937,1,97.096974,39.477286,39.731952
1,125,8.84042e+19,64.518233,53.669331,59.647697,1,51.975464,36.770166,46.996908,1,84.108104,82.402672,82.883186
1,126,1.52606e+20,93.752443,55.364123,55.458229,1,70.023054,34.809050,37.185447,1,96.040089,56.755836,57.031674
1,127,8.10094e+19,96.890296,23.759273,23.886893,1,91.424515,21.723263,21.723700,1,96.069946,23.232076,23.323754
1,128,4.54289e+20,40.136316,19.255517,30.372718,1,31.616052,12.210114,23.975700,0,0,0,0
1,129,5.69412e+20,42.555149,47.483178,70.687473,1,45.351972,52.640882,74.424229,0,0,0,0
1,130,4.28416e+20,120.072610,44.077693,50.668728,1,88.939136,30.012154,30.029387,1,120.612687,44.029177,50.888384
1,131,6.72741e+20,81.827615,43.915591,44.488381,1,80.642703,43.626764,44.355915,0,0,0,0
1,132,3.51332e+19,128.348689,50.322871,63.675470,1,66.342821,20.973748,23.179614,0,0,0,0
1,133,4.82894e+20,80.586781,39.606264,40.215315,1,78.360134,37.667805,38.543354,1,81.950164,40.378892,40.839371
1,134,5.63711e+20,108.394581,50.401451,52.967149,1,83.363270,34.886172,35.176880,1,118.190307,55.345614,62.553981
1,135,1.0092e+20,149.771877,45.979688,90.639835,1,91.779175,26.336827,26.340098,0,0,0,0
1,136,1.74607e+20,132.963953,52.285930,70.981145,1,40.967881,10.052867,15.916609,0,0,0,0
1,137,1.64632e+20,133.032558,37.395250,50.711338,1,76.040686,17.865724,18.534715,1,132.458687,36.471355,48.998848
1,138,1.88661e+20,93.648786,51.298686,51.378189,1,73.427746,35.292695,36.947554,1,105.268743,60.091513,62.178844
