Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,101,3.10042e+20,118.270889,16.338439,18.431645,1,110.372323,15.006064,15.925511,1,118.652111,16.176322,18.312240
7,102,7.23533e+20,78.369003,39.357291,40.224368,1,79.496290,40.136415,40.858295,1,163.683235,86.788308,308.224584
7,103,6.02346e+19,87.348501,15.965395,15.993027,1,87.013220,15.804764,15.837969,1,87.114376,15.842264,15.873727
7,104,1.27244e+20,120.312700,12.937634,14.870164,1,74.667179,6.422569,6.717875,0,0,0,0
7,105,9.94045e+20,54.016734,37.964488,47.062642,1,54.137084,38.018407,47.057185,1,66.572862,53.020934,57.871463
7,106,8.63646e+20,121.977186,31.648632,37.184551,1,97.140535,23.325084,23.482979,0,0,0,0
7,107,3.38112e+20,157.026906,34.189181,87.117121,1,52.408012,7.802121,10.005360,0,0,0,0
7,108,9.50692e+20,45.985784,24.604905,34.487998,1,45.708586,24.400757,34.366385,1,32.285747,14.901932,28.348493
7,109,1.0975e+19,93.283963,23.074171,23.098399,1,87.799798,21.186996,21.214457,0,0,0,0
7,110,4.97183e+19,70.250659,28.112629,29.999460,1,68.982023,27.418546,29.511257,0,0,0,0
7,111,4.5355e+19,69.131845,20.902596,22.551811,1,67.140993,20.202325,22.123912,0,0,0,0
7,112,1.42578e+19,59.502417,18.876811,22.043382,1,53.035540,15.386202,19.429219,1,56.854050,17.411174,20.944766
7,113,1.24624e+19,89.876062,26.532847,26.534096,1,81.031967,22.605734,22.917934,1,98.493284,29.951793,30.254706
7,114,1.39972e+19,102.819242,28.810106,29.498503,1,90.435034,23.968588,23.968610,1,105.940751,29.632656,30.757218
7,115,8.44816e+20,116.341489,36.681185,40.832390,1,100.285190,30.233772,30.691764,1,169.674688,47.610549,264.527770
7,116,1.62391e+19,85.650857,12.037967,12.090197,1,77.844088,10.221096,10.501977,1,83.742133,11.465955,11.559141
7,117,5.49537e+20,64.012007,29.461452,32.875066,1,63.916593,29.408845,32.843586,1,77.899046,39.841411,40.790827
7,118,1.34619e+18,96.283855,5.769575,5.785695,1,97.015550,5.833874,5.856465,1,96.073769,5.741757,5.756188
7,119,1.49921e+20,56.055454,24.766421,29.990873,1,51.134017,21.066014,27.219239,1,55.624224,24.329592,29.616678
7,120,9.01595e+20,64.380343,28.369416,31.559309,1,60.571903,25.113640,28.947602,0,0,0,0
7,121,4.29259e+19,159.088553,27.005448,75.006607,1,35.519775,3.560724,6.484791,0,0,0,0
7,122,1.72896e+20,127.216968,16.101491,20.068153,1,113.504085,14.030923,15.214686,1,127.588312,15.800181,19.786321
7,123,1.87969e+20,46.835811,29.139086,40.140640,1,46.520486,28.835956,39.932861,1,46.238319,28.698625,39.931562
7,124,9.97862e+20,49.681797,33.816461,44.533210,1,49.580543,33.721596,44.475933,1,65.741516,52.606721,57.798264
7,125,2.0178e+20,132.522781,31.965585,43.174807,1,97.104537,22.360955,22.508130,1,145.254383,34.075010,59.477225
7,126,9.73637e+20,89.383194,27.612034,27.616521,1,88.925845,27.445389,27.454705,1,98.017522,31.331411,31.613074
7,127,1.10261e+20,105.469798,25.517446,26.419286,1,111.820087,27.200242,29.216027,0,0,0,0
7,128,2.02086e+20,76.870624,36.385623,37.409480,1,74.871919,34.956454,36.265996,1,83.152699,41.036240,41.355541
7,129,1.29407e+19,141.419994,31.245499,49.851768,1,66.805821,11.742987,12.863673,0,0,0,0
7,130,1.30754e+20,88.842806,29.167572,29.178255,1,88.255999,28.917612,28.937804,1,94.033884,31.581117,31.646060
7,131,8.41673e+20,111.747695,37.488860,40.223481,1,109.482156,36.631115,38.733943,1,106.145278,35.301814,36.651965
7,132,5.19366e+19,82.638366,32.853926,33.155155,1,67.399915,23.280782,25.306482,1,108.795329,47.607926,50.217790
7,133,9.53568e+20,156.419250,37.745916,93.896951,1,46.782990,7.003355,9.799917,0,0,0,0
7,134,5.96597e+19,82.492357,27.421241,27.685789,1,80.906870,26.614272,26.986187,1,91.129632,31.530708,31.533493
7,135,2.60327e+19,89.487128,16.861003,16.864757,1,84.184768,15.295820,15.397162,1,86.441786,15.911096,15.955876
7,136,7.23429e+19,37.251111,25.247654,41.974910,1,35.164295,22.530109,39.405528,0,0,0,0
7,137,3.23599e+20,61.518411,36.700756,41.864490,1,60.514178,35.637241,41.054726,1,154.523693,114.257185,265.204876
7,138,2.21709e+20,84.281196,7.248659,7.307805,1,83.497347,7.148074,7.220062,1,84.778282,7.326905,7.378542
7,139,2.36383e+20,129.403410,16.959750,21.781378,1,106.797256,13.750594,14.303041,1,128.669846,16.691693,21.215783
7,140,2.33798e+20,110.161789,27.549444,29.274944,1,86.280782,19.153229,19.207713,0,0,0,0
7,141,4.76885e+20,161.787154,32.399877,103.015040,1,51.459697,7.131098,9.289601,0,0,0,0
7,142,4.57387e+19,126.675987,39.264302,48.807625,1,100.650525,29.521179,30.001661,1,169.239969,46.794898,249.593543
7,143,7.69196e+20,88.874211,30.778114,30.788637,1,88.120196,30.415099,30.438699,1,90.380854,31.524317,31.524319
7,144,7.85605e+20,90.973571,32.012297,32.013383,1,88.157953,30.631211,30.657320,1,88.512347,30.807327,30.826247
7,145,2.81861e+20,109.621083,23.660784,25.023426,1,97.528636,20.365591,20.508537,1,111.385092,23.870236,25.530141
7,146,1.68911e+19,166.160108,18.115652,74.919685,1,19.406072,0.837634,3.095351,0,0,0,0
7,147,4.00481e+19,84.903912,32.718562,32.867632,1,88.027893,34.418391,34.446583,1,78.608804,29.137744,29.765901
7,148,4.95602e+19,70.206514,33.102201,35.265184,1,69.481334,32.580805,34.875614,1,78.637522,39.287715,40.120534
7,149,2.53513e+19,121.021940,27.850681,32.378940,1,88.125754,18.593138,18.610740,1,132.758128,30.411755,41.235060
7,150,1.76667e+20,105.356004,38.887650,40.268072,1,105.764467,38.988836,40.451755,1,99.694604,36.079250,36.565391
7,151,3.79473e+19,97.035202,14.169392,14.253229,1,97.631407,14.293326,14.395237,1,97.730721,14.286342,14.391203
7,152,1.18561e+20,126.103087,37.928063,46.766744,1,100.193581,28.964400,29.386361,1,146.186002,42.498716,76.006752
7,153,1.40011e+18,89.294455,9.358323,9.363804,1,85.382708,8.808574,8.856179,0,0,0,0
7,154,2.11868e+20,81.592739,30.829028,31.196673,1,81.133534,30.587550,30.992013,1,81.262123,30.691828,31.086259
7,155,8.18909e+20,141.260200,18.225330,28.863522,1,83.785346,9.680406,9.762668,1,142.981657,17.966746,29.564755
7,156,2.8225e+20,59.090708,29.413529,34.402924,1,53.788757,24.549907,30.574577,0,0,0,0
7,157,2.0028e+19,82.986102,32.981210,33.255442,1,78.557011,30.399813,31.058035,1,170.718010,68.985133,426.458703
7,158,3.57675e+19,86.662619,37.529573,37.605578,1,72.304822,28.205938,29.671467,1,91.131361,40.327006,40.331403
7,159,2.27642e+20,62.112978,28.471303,32.450074,1,19.038298,10.440950,33.324369,0,0,0,0
7,160,7.29724e+19,109.724832,32.948906,34.931067,1,78.023464,19.806892,20.291352,1,111.528752,32.968449,35.362167
7,161,2.22018e+19,95.929842,31.192534,31.338617,1,88.239892,27.767030,27.787624,1,96.184793,31.341526,31.502320
7,162,1.42323e+20,94.403044,22.149334,22.200385,1,94.618022,22.117603,22.174373,1,90.326231,20.741505,20.741668
7,163,2.94047e+20,156.417539,24.964779,61.876759,1,60.479852,7.749093,9.037685,0,0,0,0
7,164,1.7788e+19,62.230742,26.790179,30.384073,1,60.663371,25.709105,29.605228,1,131.936006,73.998278,99.293500
7,165,2.0877e+19,100.742315,27.727264,28.177680,1,100.118058,27.534815,27.928355,1,103.940406,28.808878,29.625030
7,166,3.90833e+19,57.912183,26.504941,31.412579,1,57.265402,26.042400,31.090966,1,75.565491,39.952681,41.307962
7,167,3.85005e+20,55.219440,17.744391,21.770618,1,53.344720,16.770064,21.082071,1,54.498115,17.472103,21.632676
7,168,6.76911e+19,87.770035,21.721069,21.746525,1,87.157061,21.522057,21.559788,1,86.647722,21.358265,21.407927
7,169,4.94753e+20,124.507581,33.857678,40.947079,1,116.752624,31.581374,35.264860,1,140.874235,37.598200,59.332266
7,170,2.29742e+19,33.073528,16.432001,30.433880,1,34.752818,17.656827,31.277938,0,0,0,0
7,171,2.97817e+20,100.448949,27.318760,27.739909,1,61.796429,12.372202,14.157685,1,115.495219,32.132945,35.496214
7,172,2.85389e+20,101.161899,14.195250,14.429963,1,102.213821,14.397684,14.688195,1,100.919538,14.130146,14.352629
7,173,4.89654e+20,53.881651,15.732472,19.728570,1,52.320886,14.985110,19.199129,1,47.820795,13.336531,18.307726
7,174,8.40679e+19,61.531887,31.259086,35.686848,1,58.714026,28.832848,33.882152,1,71.226331,39.076073,41.352152
7,175,1.7874e+19,127.789942,39.412799,49.718194,1,101.602637,29.907887,30.491319,1,154.448839,45.645940,105.410605
